Product_Name,Pricing,Ratings
Apple iPhone SE (Space Grey| 32 GB),Rs. 21000,4.5
Apple iPhone SE (Rose Gold| 32 GB),Rs. 21000,4.4
Apple iPhone 6s (Space Grey| 32 GB),Rs. 36999,4.4
Apple iPhone SE (Gold| 32 GB),Rs. 21000,4.4
Apple iPhone 6 (Space Grey| 32 GB),Rs. 25999,4.4
Apple iPhone 6s (Gold| 32 GB),Rs. 36999,4.4
Apple iPhone 8 Plus (Space Grey| 64 GB),Rs. 69999,4.6
Apple iPhone 7 (Black| 32 GB),Rs. 44999,4.5
Apple iPhone 7 (Black| 128 GB),Rs. 54999,4.7
Apple iPhone 6 (Gold| 32 GB),Rs. 26999,4.4
Apple iPhone 6s (Rose Gold| 32 GB),Rs. 36999,4.4
Apple iPhone SE (Silver| 32 GB),Rs. 22000,4.4
Apple iPhone 7 (Rose Gold| 32 GB),Rs. 44999,4.5
Apple iPhone X (Space Gray| 64 GB),Rs. 89000,4.8
Apple iPhone X (Silver| 64 GB),Rs. 89000,4.8
Apple iPhone 7 (Gold| 128 GB),Rs. 54999,4.5
Apple iPhone 7 (Gold| 32 GB),Rs. 44999,4.5
Apple iPhone X (Space Gray| 256 GB),Rs. 102000,4.8
Apple iPhone X (Silver| 256 GB),Rs. 102000,4.8
Apple iPhone 7 (Jet Black| 32 GB),Rs. 44999,4.8
Apple iPhone 8 Plus (Silver| 64 GB),Rs. 69999,4.6
Apple iPhone 8 (Silver| 64 GB),Rs. 61999,4.5
Apple iPhone SE (Gold| 128 GB),Rs. 28490,4.3
Apple iPhone 8 (Space Grey| 64 GB),Rs. 61999,4.5
